iso;country;year;age;educ;score;oecd_avg;adj_factor
233;Estonia;2015;60;2;264.7653168;265.4258749;0.997511328
246;Finland;2015;15;1;286.3580664;256.2964279;1.11729246
246;Finland;2015;15;2;291.120521;274.7400014;1.059621896
246;Finland;2015;20;1;269.4062826;228.5203541;1.178915916
246;Finland;2015;20;2;310.6252542;280.6633385;1.106753935
246;Finland;2015;25;1;271.38297;221.9268472;1.222848761
246;Finland;2015;25;2;309.3638847;284.0089092;1.089275282
246;Finland;2015;30;1;257.8318015;220.5048407;1.169279552
246;Finland;2015;30;2;309.5770931;281.6560371;1.099131751
246;Finland;2015;35;1;272.3603846;218.4231869;1.246938974
246;Finland;2015;35;2;303.0028503;282.1194364;1.074023308
246;Finland;2015;40;1;268.9390879;220.529862;1.219513246
246;Finland;2015;40;2;294.4314543;279.7219405;1.0525862
246;Finland;2015;45;1;255.5414477;217.6583691;1.174048344
246;Finland;2015;45;2;291.825381;275.6841011;1.058549912
246;Finland;2015;50;1;258.1211491;217.2121216;1.188336761
246;Finland;2015;50;2;281.2057369;272.336376;1.032567669
246;Finland;2015;55;1;248.1981876;212.5508421;1.167712088
246;Finland;2015;55;2;271.6745562;268.3968391;1.012212204
246;Finland;2015;60;1;237.2719852;211.9832538;1.119295892
246;Finland;2015;60;2;262.9759345;265.4258749;0.990769776
250;France;2015;15;1;261.4993143;256.2964279;1.020300269
250;France;2015;15;2;275.263289;274.7400014;1.001904665
250;France;2015;20;1;226.9875723;228.5203541;0.993292581
250;France;2015;20;2;286.2634975;280.6633385;1.019953297
250;France;2015;25;1;224.2597927;221.9268472;1.010512227
250;France;2015;25;2;289.3458754;284.0089092;1.018791545
250;France;2015;30;1;217.4278206;220.5048407;0.986045566
250;France;2015;30;2;287.41446;281.6560371;1.020444877
250;France;2015;35;1;221.1276325;218.4231869;1.012381678
250;France;2015;35;2;281.1663364;282.1194364;0.996621644
250;France;2015;40;1;202.6382784;220.529862;0.918870019
250;France;2015;40;2;275.7161502;279.7219405;0.985679385
250;France;2015;45;1;207.6065676;217.6583691;0.953818447
250;France;2015;45;2;268.3778188;275.6841011;0.973497629
250;France;2015;50;1;218.1994351;217.2121216;1.004545389
250;France;2015;50;2;264.619426;272.336376;0.971663903
250;France;2015;55;1;215.3537634;212.5508421;1.013187062
250;France;2015;55;2;258.3198296;268.3968391;0.962454813
250;France;2015;60;1;217.2961915;211.9832538;1.025063006
250;France;2015;60;2;260.4131886;265.4258749;0.981114553
268;Georgia;2015;15;1;250.4298508;256.2964279;0.977110188
268;Georgia;2015;15;2;259.9710801;274.7400014;0.946244008
268;Georgia;2015;20;1;211.5537839;228.5203541;0.925754665
268;Georgia;2015;20;2;255.0845111;280.6633385;0.908862955
268;Georgia;2015;25;1;218.9579365;221.9268472;0.98662212
268;Georgia;2015;25;2;240.0009015;284.0089092;0.845047087
268;Georgia;2015;30;1;217.8101488;220.5048407;0.987779443
268;Georgia;2015;30;2;236.8603623;281.6560371;0.840956099
268;Georgia;2015;35;1;253.1446824;218.4231869;1.15896433
268;Georgia;2015;35;2;234.6789255;282.1194364;0.831842458
268;Georgia;2015;40;1;255.266561;220.529862;1.157514718
268;Georgia;2015;40;2;235.9716755;279.7219405;0.843593731
268;Georgia;2015;45;1;202.708493;217.6583691;0.93131495
268;Georgia;2015;45;2;230.0851537;275.6841011;0.834597109
268;Georgia;2015;50;1;181.4001567;217.2121216;0.835129068
268;Georgia;2015;50;2;231.251669;272.336376;0.849139848
268;Georgia;2015;55;1;205.1829093;212.5508421;0.965335669
268;Georgia;2015;55;2;221.5130941;268.3968391;0.82531931
268;Georgia;2015;60;1;220.2877;211.9832538;1.03917501
268;Georgia;2015;60;2;222.3112001;265.4258749;0.837564161
276;Germany;2015;15;1;271.0731818;256.2964279;1.057654935
276;Germany;2015;15;2;295.1772826;274.7400014;1.074387716
276;Germany;2015;20;1;254.4981599;228.5203541;1.113678302
276;Germany;2015;20;2;291.9668374;280.6633385;1.040274227
276;Germany;2015;25;1;234.6561913;221.9268472;1.057358288
276;Germany;2015;25;2;289.1175737;284.0089092;1.017987691
276;Germany;2015;30;1;220.856018;220.5048407;1.001592606
276;Germany;2015;30;2;285.4545693;281.6560371;1.013486422
276;Germany;2015;35;1;224.5546842;218.4231869;1.028071641
276;Germany;2015;35;2;281.3245989;282.1194364;0.997182621
276;Germany;2015;40;1;227.1533843;220.529862;1.030034582
276;Germany;2015;40;2;281.7337201;279.7219405;1.00719207
276;Germany;2015;45;1;209.467077;217.6583691;0.962366289
276;Germany;2015;45;2;271.8190604;275.6841011;0.985980183
276;Germany;2015;50;1;215.3332037;217.2121216;0.991349848
276;Germany;2015;50;2;263.5374587;272.336376;0.967690995
276;Germany;2015;55;1;219.0732178;212.5508421;1.030686191
276;Germany;2015;55;2;263.0824482;268.3968391;0.980199502
276;Germany;2015;60;1;227.1495495;211.9832538;1.071544782
276;Germany;2015;60;2;248.9512279;265.4258749;0.93793127
288;Ghana;2015;15;1;90.24589783;256.2964279;0.352115317
288;Ghana;2015;15;2;168.4840975;274.7400014;0.613249242
288;Ghana;2015;20;1;65.38702977;228.5203541;0.286132192
288;Ghana;2015;20;2;138.3178156;280.6633385;0.492824665
288;Ghana;2015;25;1;53.99896778;221.9268472;0.243318771
288;Ghana;2015;25;2;107.1428682;284.0089092;0.377251786
288;Ghana;2015;30;1;61.07031875;220.5048407;0.276956817
288;Ghana;2015;30;2;102.1914882;281.6560371;0.36282371
288;Ghana;2015;35;1;56.59982887;218.4231869;0.259129215
288;Ghana;2015;35;2;89.12765822;282.1194364;0.315921722
288;Ghana;2015;40;1;79.99090706;220.529862;0.362721431
288;Ghana;2015;40;2;116.3663539;279.7219405;0.416007245
288;Ghana;2015;45;1;94.58840473;217.6583691;0.43457279
288;Ghana;2015;45;2;121.1076152;275.6841011;0.439298512
288;Ghana;2015;50;1;86.03572168;217.2121216;0.396090794
288;Ghana;2015;50;2;144.4420903;272.336376;0.530381187
288;Ghana;2015;55;1;56.80433275;212.5508421;0.267250565
288;Ghana;2015;55;2;131.5605958;268.3968391;0.490171927
288;Ghana;2015;60;1;95.63391575;211.9832538;0.451139012
288;Ghana;2015;60;2;154.2149699;265.4258749;0.581009557
300;Greece;2015;15;1;247.9791455;256.2964279;0.967548192
300;Greece;2015;15;2;266.1257054;274.7400014;0.968645643
300;Greece;2015;20;1;219.3663815;228.5203541;0.959942419
300;Greece;2015;20;2;261.8560583;280.6633385;0.932989894
300;Greece;2015;25;1;219.7100824;221.9268472;0.990011281
300;Greece;2015;25;2;254.7391723;284.0089092;0.896940779
300;Greece;2015;30;1;235.0370174;220.5048407;1.065904116
300;Greece;2015;30;2;262.4175065;281.6560371;0.931694947
300;Greece;2015;35;1;232.359843;218.4231869;1.063805754
300;Greece;2015;35;2;261.2485445;282.1194364;0.926021078
300;Greece;2015;40;1;226.4741667;220.529862;1.026954647
300;Greece;2015;40;2;264.5181064;279.7219405;0.945646616
300;Greece;2015;45;1;239.6316557;217.6583691;1.100953098
300;Greece;2015;45;2;265.4746927;275.6841011;0.962967004
300;Greece;2015;50;1;239.4593986;217.2121216;1.102421895
300;Greece;2015;50;2;258.3733989;272.336376;0.948728931
300;Greece;2015;55;1;235.9571514;212.5508421;1.11012099
300;Greece;2015;55;2;259.7546264;268.3968391;0.967800616
300;Greece;2015;60;1;235.7236299;211.9832538;1.111991752
300;Greece;2015;60;2;264.1378445;265.4258749;0.995147307
348;Hungary;2015;15;1;262.3093533;256.2964279;1.023460824
348;Hungary;2015;15;2;283.0514842;274.7400014;1.030252176
348;Hungary;2015;20;1;221.9641069;228.5203541;0.971310008
348;Hungary;2015;20;2;283.026714;280.6633385;1.008420678
348;Hungary;2015;25;1;222.5162461;221.9268472;1.002655825
348;Hungary;2015;25;2;281.1475766;284.0089092;0.989925201
348;Hungary;2015;30;1;222.5461504;220.5048407;1.009257437
348;Hungary;2015;30;2;277.2051372;281.6560371;0.984197392
348;Hungary;2015;35;1;220.0692547;218.4231869;1.007536141
348;Hungary;2015;35;2;274.5639306;282.1194364;0.973218769
348;Hungary;2015;40;1;219.8968421;220.529862;0.99712955
348;Hungary;2015;40;2;273.9543841;279.7219405;0.979381108
348;Hungary;2015;45;1;220.4201113;217.6583691;1.012688427
348;Hungary;2015;45;2;270.065105;275.6841011;0.97961799
348;Hungary;2015;50;1;214.995901;217.2121216;0.989796975
348;Hungary;2015;50;2;263.2413701;272.336376;0.966603779
348;Hungary;2015;55;1;212.8190987;212.5508421;1.001262082
348;Hungary;2015;55;2;256.9639248;268.3968391;0.957402947
348;Hungary;2015;60;1;210.8207347;211.9832538;0.994515986
348;Hungary;2015;60;2;247.979152;265.4258749;0.934268945
372;Ireland;2015;15;1;250.6872471;256.2964279;0.978114479
372;Ireland;2015;15;2;274.79131;274.7400014;1.000186753
372;Ireland;2015;20;1;214.7816783;228.5203541;0.93987986
372;Ireland;2015;20;2;277.3573239;280.6633385;0.988220711
372;Ireland;2015;25;1;229.6230568;221.9268472;1.034679038
372;Ireland;2015;25;2;278.4301028;284.0089092;0.980356932
372;Ireland;2015;30;1;231.3380563;220.5048407;1.049129151
372;Ireland;2015;30;2;282.7217246;281.6560371;1.003783649
372;Ireland;2015;35;1;222.0619323;218.4231869;1.016659153
372;Ireland;2015;35;2;283.7265287;282.1194364;1.005696496
372;Ireland;2015;40;1;228.0167847;220.529862;1.0339497
372;Ireland;2015;40;2;282.1140438;279.7219405;1.008551718
372;Ireland;2015;45;1;229.9473035;217.6583691;1.056459738
372;Ireland;2015;45;2;269.29526;275.6841011;0.976825501
372;Ireland;2015;50;1;237.9336211;217.2121216;1.095397528
372;Ireland;2015;50;2;272.7242357;272.336376;1.001424194
372;Ireland;2015;55;1;229.8778522;212.5508421;1.081519367
372;Ireland;2015;55;2;267.8739144;268.3968391;0.998051673
372;Ireland;2015;60;1;231.7206203;211.9832538;1.09310814
372;Ireland;2015;60;2;271.1531002;265.4258749;1.021577494
376;Israel;2015;15;1;263.3371659;256.2964279;1.027471074
376;Israel;2015;15;2;265.6763272;274.7400014;0.967009994
376;Israel;2015;20;1;219.5512623;228.5203541;0.960751453
376;Israel;2015;20;2;265.8581348;280.6633385;0.947249243
376;Israel;2015;25;1;211.5169251;221.9268472;0.953093003
376;Israel;2015;25;2;273.3158133;284.0089092;0.962349435
376;Israel;2015;30;1;214.9095902;220.5048407;0.974625271
376;Israel;2015;30;2;267.2463551;281.6560371;0.948839435
376;Israel;2015;35;1;210.6410293;218.4231869;0.964371193
376;Israel;2015;35;2;262.6112135;282.1194364;0.930851191
376;Israel;2015;40;1;197.6587493;220.529862;0.896290178
376;Israel;2015;40;2;259.1115375;279.7219405;0.926318247
376;Israel;2015;45;1;197.4487843;217.6583691;0.907149976
376;Israel;2015;45;2;256.9959579;275.6841011;0.932211749
376;Israel;2015;50;1;185.397456;217.2121216;0.853531813
376;Israel;2015;50;2;256.5168449;272.336376;0.941911795
